supplier_item_id,supplier_id,name_raw,name_norm,super_class_db,super_class_runtime,sc_confidence,brand_id_db,brand_from_text,pack_db,pack_runtime,price,data_issues
564b113e-8b91-4030-bfed-3e3f7b7ccdd0,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,БУЛГУР 3 кг. Агро-Альянс,булгур агро альянс,staples.bulgur,staples.рис,0.37,,,3.0,3.0,452.25,NO_BRAND
aa72cd4e-a2e5-46be-aa44-d32c398b2001,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,ГОРОХ колотый шлифованный 900 гр. Каскад,горох колотый шлифованный каскад,vegetables.peas,vegetables.peas,0.52,,,0.9,0.9,74.33,NO_BRAND
324e62d9-2f6b-4667-8179-6f4fcc59a6e5,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,ГРЕЧА ядрица Элитная 3 кг. Агро-Альянс,греча ядрица элитная агро альянс,staples.гречка,staples.гречка,0.55,,,3.0,3.0,265.49,NO_BRAND
11068e1f-3116-46cf-9c59-0dd30177c4c6,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,ГРЕЧКА ядрица 900 гр. Колобок,гречка ядрица колобок,staples.гречка,staples.гречка,0.6,,,0.9,0.9,62.44,NO_BRAND
bb3322ca-35b6-4c28-89db-877521c9394c,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,МАНКА 800 гр. Колобок,манка колобок,staples.semolina,,0.18,,,0.8,0.8,55.62,NO_BRAND
38e8350a-b6cb-43f6-a584-dc51383fb19e,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,ПШЕНО Экстра 900 гр. Агро-Альянс,пшено экстра агро альянс,staples.пшено,,0.16,,,0.9,0.9,85.39,NO_BRAND
2c945004-0ff2-4e4b-ae4a-b28af1b5609e,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,РИС длиннозерный пропаренный 900 гр. Колобок,рис длиннозерный пропаренный колобок,staples.рис,staples.рис,0.9,,,0.9,0.9,123.93,NO_BRAND
6e0369ed-2273-4a3f-b598-b6009e043b8f,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,РИС для суши 25 кг. HANSEY,рис для суши hansey,staples.рис,staples.рис,0.94,,,25.0,25.0,3048.0,NO_BRAND
24e0660a-b869-4547-8a71-9fa12d969949,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,РИС жасмин экстра 3 кг. Агро-Альянс,рис жасмин экстра агро альянс,staples.рис,staples.рис,0.63,,,3.0,3.0,645.96,NO_BRAND
25979d81-87ec-4f61-a525-69232db74236,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,РИС круглозерный (для суши) 1 сорт ГОСТ 25 кг. Агро-Альянс,рис круглозерный для суши сорт агро альянс,staples.рис,staples.рис,0.77,,,25.0,25.0,3273.75,NO_BRAND
befbcf92-08f5-48e4-b481-d9e0a139625b,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,РИС круглозерный (для суши) в/с 25 кг. Агро-Альянс,рис круглозерный для суши агро альянс,staples.рис,staples.рис,0.89,,,25.0,25.0,3341.25,NO_BRAND
c4a3b16a-ed6a-4130-9f1a-fb441c377ee9,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,"РИС пропаренный золотистый 1,5 кг. Агро-Альянс",рис пропаренный золотистый агро альянс,staples.рис,staples.рис,0.93,,,1.5,1.5,230.36,NO_BRAND
1454cf34-2ea4-47e8-9097-fc65bbf739d7,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,РИС супер басмати 3 кг. Агро-Альянс,рис супер басмати агро альянс,staples.рис,staples.рис,0.92,,,3.0,3.0,848.6,NO_BRAND
6a288f0e-d82c-42b8-9162-cf732965b7b3,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,"РИС тайский Жасмин 4,5 кг. Aroy-D",рис тайский жасмин aroy,staples.рис,staples.рис,0.59,aroy_d,,4.5,4.5,1177.29,OK
74cf0ddf-b5de-4e86-b6e1-97cf049d8797,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,РИС шлифованный 25 кг. SHINAKI,рис шлифованный shinaki,staples.рис,staples.рис,0.98,,,25.0,25.0,3238.5,NO_BRAND
5c86ba8c-b674-442f-b00e-202f185df88a,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,РИС шлифованный №8 ГОСТ 25 кг. Tamaki,рис шлифованный tamaki,staples.рис,staples.рис,0.61,,,25.0,25.0,2816.86,NO_BRAND
e8202a7e-3c0d-45ae-984e-0a770af4f25a,2f57f8be-f3b8-410b-83ac-cc2f505dd06f,BORGES Масло оливковое Extra Virgin нерафинированное высшего качества 1 л ПЭТ,borges масло оливковое extra virgin нерафинированное высшего качества пэт,staples.масло.оливковое,staples.масло.оливковое,1.0,borges,,1.0,1.0,805.38,OK
