after_super_class,bad_match_reason,candidates_after_super_class_guards,candidates_total,is_bad_match,match_percent,price,reason_code,ref_super_class,reference_name,rejected_by_anchor,rejected_by_forbidden,selected_name,selected_super_class,status
,,177,,False,37,63.6,,staples.рис,БУЛГУР 3 кг. Агро-Альянс,0,0,"Рис круглозерный 0,900 гр Наш урожай",staples.рис,ok
,,176,,False,63,63.6,,staples.рис,РИС жасмин экстра 3 кг. Агро-Альянс,0,0,"Рис круглозерный 0,900 гр Наш урожай",staples.рис,ok
,,77,,False,100,253.8,,staples.масло.оливковое,BORGES Масло оливковое Extra Virgin нерафинированное высшего качества 1 л ПЭТ,0,0,Масло оливковое нераф в/кач Экстра Коста Доро (250 мл),staples.масло.оливковое,ok
,,22,,False,100,493.8,,oils.frying,МАСЛО подсолнечное рафинированное дезодорированное фритюрное 5 л. IFry,0,0,"Кокосовое масло рафинированное ROI THAI 100% (1000 мл/1,100 кг) упак.",other,ok
,,41,,False,100,35.38,,condiments.mustard,ГОРЧИЦА русская ведро 1 кг. Бастион,0,0,Горчица русская 170 гр ст/б (18) Uni Dan,condiments.mustard,ok
,,42,,False,100,83.92,,condiments.ketchup,КЕТЧУП томатный пакет 2 кг. Heinz,0,0,Кетчуп томатный 900 гр п/бут(2 категория) (8) Царский,condiments.ketchup,ok
0,,,8218,,,,NO_CANDIDATES_AFTER_GUARDS,condiments.mayo,"МАЙОНЕЗ Провансаль классический 67% ведро 9,6 кг. Solpro",0,0,,,not_found
,,467,,False,100,1.58,,condiments.sauce,СОУС ананасовый с перцем чили 470 мл. Tamaki,0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,467,,False,100,1.58,,condiments.sauce,СОУС барбекю пакет 1 кг. Heinz,0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,467,,False,100,1.58,,condiments.sauce,СОУС горчичный балк 700 гр. Heinz,0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,467,,False,100,1.58,,condiments.sauce,СОУС деликатесный кисло-сладкий оригинальный балк 1 кг. Heinz,0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,467,,False,100,1.58,,condiments.sauce,"СОУС Кимчи 1,5 л. GENSO Asian style",0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
0,,,8218,,,,NO_CANDIDATES_AFTER_GUARDS,condiments.mayo,СОУС майонезный легкий 28% пакет 2 кг. Heinz,0,0,,,not_found
,,467,,False,100,1.58,,condiments.sauce,СОУС на основе растительных масел горчично-медовый дип-пот 25 мл*125 шт. PIKADOR,0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,467,,False,100,1.58,,condiments.sauce,СОУС острый с хрустящим перцем чили 210 гр. Lao Gan Ma,0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,467,,False,100,1.58,,condiments.sauce,СОУС Ремулад 1 кг. Hellmann`s,0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,467,,False,100,1.58,,condiments.sauce,СОУС со вкусом лемонграсса 470 мл. Tamaki,0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,468,,False,100,1.58,,condiments.sauce,СОУС соевый порционный 30 гр.,0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,467,,False,100,1.58,,condiments.sauce,СОУС сырный дип-пот 25 мл*125 шт. Heinz,0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,467,,False,100,1.58,,condiments.sauce,"СОУС Терияки 1,8 л. Tamaki",0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,467,,False,100,1.58,,condiments.sauce,"СОУС Унаги 1,5 л. GENSO",0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,467,,False,100,1.58,,condiments.sauce,СОУС Халапеньо 470 мл. Tamaki,0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,467,,False,100,1.58,,condiments.sauce,СОУС чесночный Ранч на основе растительных масел 1 кг. Tamaki,0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,467,,False,100,1.58,,condiments.sauce,СОУС Шрирача 475 гр. Uni-Eagle,0,0,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,condiments.sauce,ok
,,107,,False,100,93.05,,condiments.spice,АНИС звездчатый 70 гр. KOTANYI,0,0,"Соль нитритная ""SpicExpert"" пакет (1,000 кг/1,010 кг) упак..",condiments.spice,ok
,,81,,False,84,298.0,,condiments.broth,БУЛЬОН из баранины 2 кг. Knorr,0,0,"БУЛЬОН куриный 0,85 кг, MAREVEN FOOD, РОССИЯ",condiments.broth,ok
,,81,,False,43,298.0,,condiments.broth,БУЛЬОН рыбный концентрат Хондаши 1 кг. Китай,0,0,"БУЛЬОН куриный 0,85 кг, MAREVEN FOOD, РОССИЯ",condiments.broth,ok
,,107,,False,100,93.05,,condiments.spice,ВАСАБИ порошок 2 кг. Tamaki,0,0,"Соль нитритная ""SpicExpert"" пакет (1,000 кг/1,010 кг) упак..",condiments.spice,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,ГРИБЫ сушеные Шиитаке Китай 250 гр. GENSO,,,,,not_found
,,7,,False,100,123.9,,additives.coconut,КОКОСОВАЯ СТРУЖКА Файн 1 кг. Суприм,0,0,Кокосовая стружка 400мл (150г),other,ok
,,8,,False,100,226.2,,additives.starch,КРАХМАЛ картофельный пакет 1 кг. SpicеExpert,0,0,СУХАРИ ПАНИРОВОЧНЫЕ пакет 1 кг. SpicеExpert,other,ok
,,87,,False,31,213.5,,condiments.seasoning,ОРЕХ мускатный молотый 170 гр. KOTANYI,0,0,ПРИПРАВА хмели-сунели банка 400 гр. SpicеExpert,condiments.seasoning,ok
,,112,,False,47,39.05,,pasta,ПАСТА Карри зеленая Тайланд 400 гр. Aroy-D,0,0,СПАГЕТТИ №003 400 гр. Америа,pasta,ok
,,112,,False,54,39.05,,pasta,ПАСТА Том Кха Тайланд 400 гр. Aroy-D,0,0,СПАГЕТТИ №003 400 гр. Америа,pasta,ok
,,107,,False,100,93.05,,condiments.spice,ПЕРЕЦ черный горошек банка 600 гр. KOTANYI,0,0,"Соль нитритная ""SpicExpert"" пакет (1,000 кг/1,010 кг) упак..",condiments.spice,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,ПОРОШОК куриный 1 кг. PRB,,,,,not_found
,,86,,False,100,213.5,,condiments.seasoning,ПРИПРАВА для курицы банка 500 гр. SpicеExpert,0,0,ПРИПРАВА хмели-сунели банка 400 гр. SpicеExpert,condiments.seasoning,ok
,,86,,False,100,213.5,,condiments.seasoning,ПРИПРАВА креольская Каджун п/б 290 гр. KOTANYI,0,0,ПРИПРАВА хмели-сунели банка 400 гр. SpicеExpert,condiments.seasoning,ok
,,86,,False,100,213.5,,condiments.seasoning,"ПРИПРАВА соль для размягчения мяса п/б 1,65 кг. KOTANYI",0,0,ПРИПРАВА хмели-сунели банка 400 гр. SpicеExpert,condiments.seasoning,ok
,,152,,False,54,0.65,,staples.сахар,САХАР ванильный 1 кг. SpicеExpert,0,0,САХАР порционный в стиках 5гр 1000шт/кр CEA,staples.сахар,ok
,,57,,False,65,15.9536,,staples.соль,СОЛЬ порционная в стиках 1гр 3000шт/кр CEA,0,0,"Соль пищевая помол №1 ""СЛАВЯНОЧКА""  п/э 1кг",staples.соль,ok
,,61,,False,30,23.23,,bakery.bread,СУХАРИ панировочные Панко 1 кг. HANSEY,0,0,Дрожжи свежие хлебопекарные прессованные Люкс экстра 100 гр (20) Саф-Нева,bakery.bread,ok
,,41,,False,100,30.0,,condiments.vinegar,УКСУС рисовый 20 л. PADAM,0,0,Уксус столовый 9% 1л,condiments.vinegar,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,ШАРИКИ Рисовые Crispy Arare Кимчи Россия 1 кг.,,,,,not_found
,,153,,False,47,0.65,,staples.сахар,САХАР тростниковый кристаллический Gold в плёнке 900 гр. Цукерман,0,0,САХАР порционный в стиках 5гр 1000шт/кр CEA,staples.сахар,ok
,,107,,False,42,93.05,,condiments.spice,ОРЕХ грецкий бабочка 1 кг. Суприм,0,0,"Соль нитритная ""SpicExpert"" пакет (1,000 кг/1,010 кг) упак..",condiments.spice,ok
,,3,,False,100,449.0,,oils.sesame,СЕМЯ кунжутное белое жареное 1кг. Суприм,0,0,"Кунжутное семя белое жареное, Россия",other,ok
