item_id,name_raw,pack_base_qty,unit_type,potential_packs_needed_for_1kg,issue
a26624cf-9631-4f73-a2c8-0a6cd8b5b3a6,"Багет французский мини (0,130 г) упак. . Мираторг",0.13,WEIGHT,7692,SMALL_PACK_HIGH_COUNT_7692x
9f3ae15c-cb75-4865-8884-9faceb5e784a,"Комплексная пищевая добавка столовый подсластитель жидкий (0,200 мл) упак.",0.2,VOLUME,5000,SMALL_VOLUME_HIGH_COUNT_5000x
7e5591af-8a88-4654-afcc-ad3fca382c70,"Уксус бальзамический 3 Medaglie d'oro Ricardo Champagnotta 12 лет Giusti ст/б (0,250мл)",0.25,VOLUME,4000,SMALL_VOLUME_HIGH_COUNT_4000x
56cd5be7-9b11-460e-9262-9f2aa8f5ea20,"Уксус бальзамический 1 Medaglia d'argento Il Profumato Champagnotta 6 лет Giusti ст/б (0,250мл)",0.25,VOLUME,4000,SMALL_VOLUME_HIGH_COUNT_4000x
be8a2e9d-fb63-4e27-820a-01d26f4208be,"Соус с добавлением бальзамического уксуса МОДЕНЫ со вкусом и ароматом лесных ягод CARANDINI пл.бут (0,250 мл) кор. .",0.25,VOLUME,4000,SMALL_VOLUME_HIGH_COUNT_4000x
c41c161a-28ee-4734-a6e9-5ce5e8032d39,"Уксус бальзамический Модены качество Д+ Ponti спрей ст/б (0,250мл)",0.25,VOLUME,4000,SMALL_VOLUME_HIGH_COUNT_4000x
732a8c49-8be0-4784-8197-92a24d6ff15b,"ПЕРЕЦ черный молотый порционный в стиках 0,3гр 3000шт/кр CEA",0.3,WEIGHT,3333,SMALL_PACK_HIGH_COUNT_3333x
fff46430-3da0-46ef-99c7-c0722c40d583,"Жидкий дым ""Классический"" (0,330 мл ) упак..",0.33,VOLUME,3030,SMALL_VOLUME_HIGH_COUNT_3030x
a128fee8-741d-4d8d-ba6d-916c42839dbc,"Кокосовое молоко KARA 17% ж/б (0,400 мл) Индонезия",0.4,VOLUME,2500,SMALL_VOLUME_HIGH_COUNT_2500x
5c442b41-0e6c-483f-a1f0-b0a1d1b4aceb,"Соус Манго с перцем чили Tamaki ( 0,470 мл ) упак.Россия",0.47,VOLUME,2127,SMALL_VOLUME_HIGH_COUNT_2127x
ccade177-69a5-4144-bb33-3413cffa8e30,"Сметана 15% ГОСТ 0,5 гр",0.5,WEIGHT,2000,SMALL_PACK_HIGH_COUNT_2000x
fc5f632b-b764-43d8-b1a7-b1d2c6eece15,"Сметана 20% ГОСТ 0,5 гр",0.5,WEIGHT,2000,SMALL_PACK_HIGH_COUNT_2000x
d1d608ab-ffb3-454d-a8bd-b3e930ede380,"Уксус яблочный Лукерья 6% (0,500 мл)",0.5,VOLUME,2000,SMALL_VOLUME_HIGH_COUNT_2000x
c33377a3-d969-46c1-94ed-4550259416bb,Уксус бальзамический Модены Carandini стекло 0.500мл,0.5,VOLUME,2000,SMALL_VOLUME_HIGH_COUNT_2000x
5fd26eb0-909f-46fd-8762-9b1571e6b4f7,"Крупа ячневая фасованная 0,700гр Наш урожай",0.7,WEIGHT,1428,SMALL_PACK_HIGH_COUNT_1428x
d5cc75d4-c983-48e3-8824-e2fb195adf2d,"Рис круглозерный 0,900 гр Наш урожай",0.9,WEIGHT,1111,SMALL_PACK_HIGH_COUNT_1111x
636ed845-e6ca-4345-9bc7-cef104336492,"Греча ядрица 0,900 гр Наш урожай",0.9,WEIGHT,1111,SMALL_PACK_HIGH_COUNT_1111x
a3015963-fa31-47aa-abf1-c27d6cef47b5,"Рис пропаренный длиннозерный 0,900гр Наш урожай",0.9,WEIGHT,1111,SMALL_PACK_HIGH_COUNT_1111x
a5a4b128-010d-47c0-9ab0-a3b21e975ff0,"Пшено шлифованное 0,900гр Наш урожай",0.9,WEIGHT,1111,SMALL_PACK_HIGH_COUNT_1111x
2d1a23a1-3469-4227-8766-0cfb367961cb,"Макароны вермишель 0,900 гр Вари Ешь",0.9,WEIGHT,1111,SMALL_PACK_HIGH_COUNT_1111x
57a95e57-50e4-4de5-b3d8-b1764b1b1edd,"Уксус столовый Лукерья 9% (0,900 мл)",0.9,VOLUME,1111,SMALL_VOLUME_HIGH_COUNT_1111x
