name_raw,name_norm,super_class,price
БУЛГУР 3 кг. Агро-Альянс,булгур агро альянс,staples.bulgur,452.25
ГОРОХ колотый шлифованный 900 гр. Каскад,горох колотый шлифованный каскад,vegetables.peas,74.33
ГРЕЧА ядрица Элитная 3 кг. Агро-Альянс,греча ядрица элитная агро альянс,staples.гречка,265.49
ГРЕЧКА ядрица 900 гр. Колобок,гречка ядрица колобок,staples.гречка,62.44
МАНКА 800 гр. Колобок,манка колобок,staples.semolina,55.62
ПШЕНО Экстра 900 гр. Агро-Альянс,пшено экстра агро альянс,staples.пшено,85.39
РИС длиннозерный пропаренный 900 гр. Колобок,рис длиннозерный пропаренный колобок,staples.рис,123.93
РИС для суши 25 кг. HANSEY,рис для суши hansey,staples.рис,3048.0
РИС жасмин экстра 3 кг. Агро-Альянс,рис жасмин экстра агро альянс,staples.рис,645.96
РИС круглозерный (для суши) 1 сорт ГОСТ 25 кг. Агро-Альянс,рис круглозерный для суши сорт агро альянс,staples.рис,3273.75
РИС круглозерный (для суши) в/с 25 кг. Агро-Альянс,рис круглозерный для суши агро альянс,staples.рис,3341.25
"РИС пропаренный золотистый 1,5 кг. Агро-Альянс",рис пропаренный золотистый агро альянс,staples.рис,230.36
РИС супер басмати 3 кг. Агро-Альянс,рис супер басмати агро альянс,staples.рис,848.6
РИС шлифованный 25 кг. SHINAKI,рис шлифованный shinaki,staples.рис,3238.5
РИС шлифованный №8 ГОСТ 25 кг. Tamaki,рис шлифованный tamaki,staples.рис,2816.86
GRANOLIVA Масло оливковое рафинированное ПОМАС 1л ПЭТ,granoliva масло оливковое рафинированное помас пэт,staples.масло.оливковое,500.44
"МАСЛО Кунжутное 1,8 л. BG",масло кунжутное bg,other,908.5
"МАСЛО кунжутное 1,8 л. REAL TANG",масло кунжутное real tang,other,1076.4
МАСЛО подсолнечное рафинированное 1 л. Sunny Gold,масло подсолнечное рафинированное sunny gold,staples.масло.подсолнечное,163.13
МАСЛО подсолнечное рафинированное 5 л. Sunny Gold,масло подсолнечное рафинированное sunny gold,staples.масло.подсолнечное,768.76
МАСЛО подсолнечное рафинированное дезодорированное вымороженное фритюрное 5 л. SolPro,масло подсолнечное рафинированное дезодорированное вымороженное фритюрное solpro,staples.масло.подсолнечное,760.05
МАСЛО подсолнечное рафинированное дезодорированное фритюрное 5 л. IFry,масло подсолнечное рафинированное дезодорированное фритюрное ifry,staples.масло.подсолнечное,831.25
МАСЛО тыквенное из Штирии 500 мл. KOTANYI Gourmet,масло тыквенное из штирии kotanyi gourmet,other,2070.09
МАСЛО фритюрное  5 л. Sunny Gold,масло фритюрное sunny gold,other,862.5
"МАСЛО фритюрное растительное ВЕГАФРАЙ_05 7,5 л. Cargill",масло фритюрное растительное вегафрай_05 cargill,condiments.oil.vegetable,1396.88
СПРЕЙ для жарки и выпекания 500 гр. KOTANYI,спрей для жарки выпекания kotanyi,other,725.49
ГОРЧИЦА дижонская ст/б 270 гр. Бастион,горчица дижонская ст бастион,condiments.mustard,70.15
ГОРЧИЦА зернистая ведро 1 кг. UNI DAN,горчица зернистая ведро uni dan,condiments.mustard,164.77
ГОРЧИЦА зернистая ст/б 270 гр. UNI DAN,горчица зернистая ст uni dan,condiments.mustard,81.03
ГОРЧИЦА русская ведро 1 кг. Бастион,горчица русская ведро бастион,condiments.mustard,149.93
"ГОРЧИЦА сладкая MILD 1,1 кг. PROVIL S.A.",горчица сладкая mild provil,condiments.mustard,868.73
ЗАПРАВКА для салата 470 мл. Tamaki,заправка для салата tamaki,other,231.11
КЕТЧУП томатный классический 900 гр. Царский,кетчуп томатный классический царский,condiments.ketchup,161.24
КЕТЧУП томатный классический ведро 10 кг. Царский,кетчуп томатный классический ведро царский,condiments.ketchup,1268.75
КЕТЧУП томатный пакет 1 кг. PIKADOR PRO,кетчуп томатный пакет pikador pro,condiments.ketchup,199.2
КРЕМ-СОУС бальзамический классический п/б 500 мл. KOTANYI,крем соус бальзамический классический kotanyi,condiments.sauce,791.79
МАЙОНЕЗ домашний 25% 5 кг. Hellmann`s,майонез домашний 25 hellmann,condiments.mayonnaise,1073.37
МАЙОНЕЗ настоящий 78% 5 л. Hellmann`s,майонез настоящий 78 hellmann,condiments.mayonnaise,1921.41
МАЙОНЕЗ Провансаль для запекания 67% ведро 10 л. Solpro,майонез провансаль для запекания 67 ведро solpro,condiments.mayonnaise,1794.0
МАЙОНЕЗ Провансаль классический 55% ведро 10 л. Solpro,майонез провансаль классический 55 ведро solpro,condiments.mayonnaise,1706.9
"МАЙОНЕЗ Провансаль классический 60% ведро 9,7 кг. Solpro",майонез провансаль классический 60 ведро solpro,condiments.mayonnaise,1825.2
МАЙОНЕЗ Провансаль классический 67% ведро 3 л. Solpro,майонез провансаль классический 67 ведро solpro,condiments.mayonnaise,578.5
"МАЙОНЕЗ Провансаль классический 67% ведро 9,6 кг. Solpro",майонез провансаль классический 67 ведро solpro,condiments.mayonnaise,1786.2
МАЙОНЕЗ Провансаль классический 67% ведро 9.4 кг. (10л) Solpro GOLDEN QUALITY,майонез провансаль классический 67 ведро solpro golden quality,condiments.mayonnaise,1926.2
"МАЙОНЕЗ Провансаль классический 78% ведро 5,3 л. Solpro",майонез провансаль классический 78 ведро solpro,condiments.mayonnaise,1170.0
ПАСТА томатная 25% ТУ 5 кг.,паста томатная 25 ту,condiments.tomato_paste,866.81
ПАСТА томатная 28% ж/б 820 гр. Кanz,паста томатная 28 кanz,condiments.tomato_paste,210.7
"ПАСТА томатная 30% ж/б 2,2 кг. Помидорка",паста томатная 30 помидорка,condiments.tomato_paste,781.7
ПАСТА томатная ж/б 770 гр. Помидорка,паста томатная помидорка,condiments.tomato_paste,293.64
"РЕЛИШ из корнишонов 1,05 кг. PROVIL S.A.",релиш из корнишонов provil,other,841.52
СОУС ананасовый с перцем чили 470 мл. Tamaki,соус ананасовый перцем чили tamaki,condiments.sauce,214.17
СОУС бальзамический 470 мл. Tamaki,соус бальзамический tamaki,condiments.sauce,179.08
СОУС Барбекю 1 кг. Hellmann`s,соус барбекю hellmann,condiments.sauce,466.2
СОУС Барбекю 1 кг. Tamaki,соус барбекю tamaki,condiments.sauce,315.81
СОУС Барбекю 1 кг. Россия Got2Eat,соус барбекю россия got2eat,condiments.sauce,233.53
"СОУС Барбекю Америка 2,3 кг. PROVIL S.A.",соус барбекю америка provil,condiments.sauce,1358.96
"СОУС Барбекю копченый 2,3 кг. PROVIL S.A.",соус барбекю копченый provil,condiments.sauce,1318.59
"СОУС Бонито 1,8 кг. Kingzest",соус бонито kingzest,condiments.sauce,2258.85
СОУС Бургер Гриль 1 кг. Hellmann`s,соус бургер гриль hellmann,condiments.sauce,832.5
СОУС Ворчестер 740 гр. PROVIL S.A.,соус ворчестер provil,condiments.sauce,824.85
СОУС Голландез Hollandaise 1 кг. PROVIL S.A.,соус голландез hollandaise provil,condiments.sauce,1602.9
"СОУС грибной соевый 1,8 л. ТяньХэ QIANHE",соус грибной соевый тяньхэ qianhe,condiments.sauce.soy,490.05
СОУС гриль на основе растительных масел 1 кг. Tamaki,соус гриль на основе растительных масел tamaki,condiments.sauce,425.92
СОУС деликатесный Барбекью острый дип-пот 25 мл*125 шт. PIKADOR,соус деликатесный барбекью острый дип пот 125 шт pikador,condiments.sauce,1200.6
СОУС деликатесный Барбекю балк 1 кг. PIKADOR PRO,соус деликатесный барбекю балк pikador pro,condiments.sauce,212.21
СОУС деликатесный кисло-сладкий Чили дип-пот 25 мл*125 шт. PIKADOR,соус деликатесный кисло сладкий чили дип пот 125 шт pikador,condiments.sauce,1200.6
СОУС для шаурмы 1 кг. Tamaki,соус для шаурмы tamaki,condiments.sauce,398.09
СОУС из черных соевых бобов 280 гр. Lao Gan Ma,соус из черных соевых бобов lao gan ma,condiments.sauce.soy,234.0
"СОУС Карри 2,3 кг. PROVIL S.A.",соус карри provil,condiments.sauce,1385.87
СОУС карри с ананасом 470 мл. Tamaki,соус карри ананасом tamaki,condiments.sauce,265.5
"СОУС Кимчи 1,5 л. GENSO Asian style",соус кимчи genso asian style,condiments.sauce,508.71
"СОУС Кимчи 1,5 л. Tamaki",соус кимчи tamaki,condiments.sauce,410.64
"СОУС Кимчи 1,8 л. BG",соус кимчи bg,condiments.sauce,778.8
"СОУС Кимчи 1,8 л. PEARL RIVER BRIDGE",соус кимчи pearl river bridge,condiments.sauce,771.01
"СОУС Кимчи 1,8 л. Tamaki",соус кимчи tamaki,condiments.sauce,757.56
СОУС кисло-сладкий 1 кг. Tamaki,соус кисло сладкий tamaki,condiments.sauce,379.94
СОУС Лемонграсс Таиланд 285 гр. Chang,соус лемонграсс таиланд chang,condiments.sauce,176.68
СОУС майонезный Легкий 30% 10 кг. SolPro,соус майонезный легкий 30 solpro,condiments.sauce,1614.6
СОУС Манго с перцем чили 470 гр. Tamaki,соус манго перцем чили tamaki,condiments.sauce,255.31
