name_raw,name_norm,super_class,brand_id,price
БУМАГА рисовая 22 см Тайланд 1 уп. Aroy-D,бумага рисовая 22 тайланд уп aroy,staples.рис,aroy_d,391.62
ТУНЕЦ филе без кожи Саку АААА с/м вес 500+ гр.,тунец филе без кожи саку аааа 500 гр,canned.тунец.консервированный,,1408.0
ВОДОРОСЛИ в пленке для Онигири 100 шт. TIDORI,водоросли пленке для онигири 100 шт tidori,seafood.seaweed,,973.08
ВОДОРОСЛИ в пленке для Онигири 15 шт. TIDORI,водоросли пленке для онигири 15 шт tidori,seafood.seaweed,,231.79
ЯЙЦО куриное пищевое С1 мытое 180 шт. Экстра,яйцо куриное пищевое с1 мытое 180 шт экстра,dairy.яйцо.куриное,,10.62
ЯЙЦО куриное пищевое С1 Ярково 25 шт. Роскар,яйцо куриное пищевое с1 ярково 25 шт роскар,dairy.яйцо.куриное,,12.19
ЯЙЦО куриное С0 10 шт. Яркоvо,яйцо куриное с0 10 шт яркоvо,dairy.яйцо.куриное,,14.98
ЯЙЦО перепелиное 1 уп/20 шт. Птицефабрика Солигорская,яйцо перепелиное уп 20 шт птицефабрика солигорская,dairy.яйцо.куриное,,7.02
Микроволновая печь Qummy,микроволновая печь qummy,other,,70000.0
КОНТЕЙНЕР для сэндвича (126*126*71 мм) ECO SANDWICH крафт 1 кор/600 шт. DoEco,контейнер для сэндвича 126 126 71 мм eco sandwich крафт 600 шт doeco,disposables.containers,,8.7
КОРОБКА для пиццы белая (210*210*45мм) картон 50шт/кр EDV,коробка для пиццы белая 210 210 45мм картон 50шт кр edv,other,,12.75
КОРОБКА для пиццы белая (250*250*40мм) картон 50шт/кр EDV,коробка для пиццы белая 250 250 40мм картон 50шт кр edv,other,,15.19
КОРОБКА для пиццы белая (330*330*40мм) картон 50шт/кр,коробка для пиццы белая 330 330 40мм картон 50шт кр,other,,19.25
КОРОБКА для пиццы белая (400*400*40мм) картон 50шт/кр EDV,коробка для пиццы белая 400 400 40мм картон 50шт кр edv,other,,26.25
КРЫШКА для контейнера плоская OpSalad 1000 1 кор/300 шт.,крышка для контейнера плоская opsalad 1000 300 шт,disposables.containers,,8.22
КРЫШКА для контейнера плоская OpSalad 400 1 кор/800 шт.,крышка для контейнера плоская opsalad 400 800 шт,disposables.containers,,3.46
КРЫШКА для контейнера плоская OpSalad 900 1 кор/400 шт.,крышка для контейнера плоская opsalad 900 400 шт,disposables.containers,,6.95
ЛОТОК для фасовки еды черный (220х140х20) PLATTER 400 Black Edition 1 кор/850 шт. OSQ,лоток для фасовки еды черный 220х140х20 platter 400 black edition 850 шт osq,other,,5.26
ЛОТОК для хот-дога крафт картон OSQ HD noL (182*85*38мм) 1000шт/кр,лоток для хот дога крафт картон osq hd nol 182 85 38мм 1000шт кр,other,,3.48
ТАРЕЛКА одноразовая картонная 170 мм белая 1 блок/100 шт.,тарелка одноразовая картонная 170 мм белая 100 шт,other,,1.44
УГОЛОК белый 150*150мм 3000шт/кр,уголок белый 150 150мм 3000шт кр,other,,1.03
