name_raw,name_norm,super_class,brand_id,pack,price
"МАСЛО Кунжутное 1,8 л. BG",масло кунжутное bg,other,,1.8,908.5
"МАСЛО кунжутное 1,8 л. REAL TANG",масло кунжутное real tang,other,,1.8,1076.4
МАСЛО тыквенное из Штирии 500 мл. KOTANYI Gourmet,масло тыквенное из штирии kotanyi gourmet,other,,0.5,2070.09
МАСЛО фритюрное  5 л. Sunny Gold,масло фритюрное sunny gold,other,,5.0,862.5
СПРЕЙ для жарки и выпекания 500 гр. KOTANYI,спрей для жарки выпекания kotanyi,other,,0.5,725.49
ЗАПРАВКА для салата 470 мл. Tamaki,заправка для салата tamaki,other,,0.47,231.11
"РЕЛИШ из корнишонов 1,05 кг. PROVIL S.A.",релиш из корнишонов provil,other,,1.05,841.52
ХРЕН сливочный ст/б 250 гр. Kuhne,хрен сливочный ст kuhne,other,,0.25,375.64
ХРЕН столовый ведро 1 кг. Бастион,хрен столовый ведро бастион,other,,1.0,258.41
АЗИАТСКАЯ СМЕСЬ трав п/б 136 гр. KOTANY,азиатская смесь трав kotany,other,,0.136,448.48
АНИС звездчатый 70 гр. KOTANYI,анис звездчатый kotanyi,other,,0.07,494.58
БАДЬЯН целый пакет 1 кг. SpicеExpert,бадьян целый пакет spicеexpert,other,,1.0,2751.25
ВАСАБИ 1 кг. FUMIKO Premium,васаби fumiko premium,other,,1.0,554.6
ВАСАБИ 1кг. RISMA,васаби risma,other,,1.0,519.2
ВАСАБИ зеленая 1 кг. OSHI,васаби зеленая oshi,other,,1.0,274.5
ВАСАБИ красный STANDART 20% 1 кг. OSHI,васаби красный standart 20 oshi,other,,1.0,286.7
ВАСАБИ порционный 5 гр.,васаби порционный,other,,0.005,5.94
ГАЛАНГАЛ сушеный (резаный) Таиланд 100 гр. GENSO,галангал сушеный резаный таиланд genso,other,,0.1,203.74
ГВОЗДИКА целая пакет 500 гр. SpicеExpert,гвоздика целая пакет spicеexpert,other,,0.5,1686.25
ГЛУТАМАТ натрия 454 гр. PRB,глутамат натрия prb,other,,0.454,140.3
ЖЕЛАТИН пакет 1 кг. SpicеExpert,желатин пакет spicеexpert,other,,1.0,2143.75
"ЗАПРАВКА для борща сухая смесь 2,4 кг. Knorr",заправка для борща сухая смесь knorr,other,knorr,2.4,2901.54
КАРДАМОН молотый п/б 159 гр. KOTANYI,кардамон молотый kotanyi,other,,0.159,897.75
КОКОСОВАЯ СТРУЖКА медиум 1 кг. Суприм,кокосовая стружка медиум суприм,other,,1.0,562.5
КОКОСОВАЯ СТРУЖКА Файн 1 кг. Суприм,кокосовая стружка файн суприм,other,,1.0,606.25
КОРИАНДР молотый банка 350 гр. SpicеExpert,кориандр молотый банка spicеexpert,other,,0.35,128.1
КОРИАНДР молотый банка 460 гр. KOTANYI,кориандр молотый банка kotanyi,other,,0.46,594.55
КОРИАНДР целый банка 380 гр. KOTANYI,кориандр целый банка kotanyi,other,,0.38,581.53
КОРИЦА молотая 600 гр. KOTANYI,корица молотая kotanyi,other,,0.6,868.78
КОРИЦА молотая в банке 400 гр. SpicеExpert,корица молотая банке spicеexpert,other,,0.4,275.72
КОРИЦА палочки 350 гр. KOTANYI,корица палочки kotanyi,other,,0.35,1167.66
КОРИЦА палочки пакет 1 кг. SpicеExpert,корица палочки пакет spicеexpert,other,,1.0,1833.0
КРАХМАЛ кукурузный 500 гр.*6 шт. Mondamin,крахмал кукурузный шт mondamin,other,,0.5,1812.63
КУРКУМА молотая в банке 500 гр. SpicеExpert,куркума молотая банке spicеexpert,other,,0.5,300.3
